Sample_Name,Collection_Date,Lake,Layer,Accession_Number,subproject
CBU01JUL05,7/1/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU02AUG05,8/2/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU03JUN05,6/3/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU05AUG05,8/5/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU05JUL05,7/5/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU07JUN05,6/7/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU08JUL05,7/8/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU10AUG05,8/10/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU10JUN05,6/10/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU12JUL05,7/12/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU12JUN05,6/12/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU14JUL05,7/14/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU14JUN05,6/14/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU17JUN05,6/17/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU19JUL05,7/19/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU21JUN05,6/21/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU24JUN05,6/24/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU24MAY05,5/24/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU27MAY05,5/27/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU28JUL05,7/28/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU28JUN05,6/28/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU30AUG05,8/30/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBU31MAY05,5/31/2005,Crystal Bog,Unknown,ERP016854,Earth Microbiome Project
CBE01OCT07.R1,10/1/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE01OCT07.R2,10/1/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE02AUG07.R1,8/2/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE02AUG07.R2,8/2/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE02AUG09,8/2/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE02JUL07.R1,7/2/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE02JUL07.R2,7/2/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE03JUN09,6/3/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE05JUL07.R1,7/5/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE05JUL07.R2,7/5/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE06AUG07,8/6/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE06NOV07.R1,11/6/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE06NOV07.R2,11/6/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE07JUL09,7/7/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE08JUN09,6/8/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE09AUG07.R1,8/9/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE09AUG07.R2,8/9/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE10JUL07.R1,7/10/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE10JUL07.R2,7/10/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE10SEP07.R1,9/10/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE10SEP07.R2,9/10/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE12AUG09,8/12/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE12JUL07.R1,7/12/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE12JUL07.R2,7/12/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE13JUL09,7/13/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE15JUN09,6/15/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE16JUL07.R1,7/16/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE16JUL07.R2,7/16/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE16OCT07.R1,10/16/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE16OCT07.R2,10/16/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE17SEP07.R1,9/17/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE17SEP07.R2,9/17/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE18AUG09,8/18/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE18JUL07.R1,7/18/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE18JUL07.R2,7/18/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE19JUN07.R1,6/19/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE19JUN07.R2,6/19/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE20AUG07,8/20/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE21JUL09,7/21/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE21JUN07.R1,6/21/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE21JUN07.R2,6/21/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE23AUG07.R1,8/23/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE23AUG07.R2,8/23/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE23JUN09,6/23/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE23OCT07.R1,10/23/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE23OCT07.R2,10/23/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE24AUG09,8/24/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE25JUL07.R1,7/25/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE25JUL07.R2,7/25/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE25SEP07.R1,9/25/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE25SEP07.R2,9/25/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE27AUG07.R1,8/27/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE27AUG07.R2,8/27/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE27JUL07.R1,7/27/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE27JUL07.R2,7/27/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE27JUL09,7/27/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE27JUN07.R1,6/27/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE27JUN07.R2,6/27/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE29JUN07.R1,6/29/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE29JUN07.R2,6/29/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE29JUN09,6/29/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE29MAY09,5/29/2009,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE29OCT07,10/29/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE31JUL07.R1,7/31/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBE31JUL07.R2,7/31/2007,Crystal Bog,Epilimnion,ERP016854,Earth Microbiome Project
CBH01OCT07.R1,10/1/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH01OCT07.R2,10/1/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH02AUG09,8/2/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH02JUL07.R1,7/2/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH02JUL07.R2,7/2/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH03JUN09,6/3/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH05JUL07.R1,7/5/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH05JUL07.R2,7/5/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH06AUG07.R1,8/6/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH06AUG07.R2,8/6/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH06NOV07.R1,11/6/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH06NOV07.R2,11/6/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH07JUL09,7/7/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH08JUN09,6/8/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH09AUG07.R1,8/9/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH09AUG07.R2,8/9/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH10JUL07.R1,7/10/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH10JUL07.R2,7/10/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH10SEP07.R1,9/10/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH10SEP07.R2,9/10/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH12AUG09,8/12/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH12JUL07.R1,7/12/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH12JUL07.R2,7/12/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH13JUL09,7/13/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH15JUN09,6/15/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH16JUL07.R1,7/16/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH16JUL07.R2,7/16/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH16OCT07.R1,10/16/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH16OCT07.R2,10/16/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH17SEP07.R1,9/17/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH17SEP07.R2,9/17/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH18AUG09,8/18/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH18JUL07.R1,7/18/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH18JUL07.R2,7/18/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH19JUN07.R1,6/19/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH19JUN07.R2,6/19/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH20AUG07.R1,8/20/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH20AUG07.R2,8/20/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH21JUL09,7/21/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH21JUN07.R1,6/21/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH21JUN07.R2,6/21/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH23AUG07.R1,8/23/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH23AUG07.R2,8/23/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH23JUN09,6/23/2009,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
CBH23OCT07.R1,10/23/2007,Crystal Bog,Hypolimnion,ERP016854,Earth Microbiome Project
